county_name,year,GDP,primary_ind,secondary_ind,tertiary_ind,finance_rev,finance_exp,常住人口,城镇人口,乡村人口,人均gdp,第一产业占gdp比重,第二产业占gdp比重,第三产业占gdp比重,城镇化率,财政自给率,非农产业合计占比,gdp相对误差
小店区,2019,9996027,41864,4825236,5128927,243697,459760,1318724,1229249,89475,75800.75133234855,0.0041880639177945,0.482715382821595,0.5130965532606104,0.9321503210679416,0.5300526361579955,9996027,0.0
小店区,2020,10636837,44124,4920153,5672560,237205,471608,1364860,1276350,88510,77933.53897103,0.0041482256426416,0.4625579013761328,0.5332938729812255,0.935150857963454,0.5029706875201438,10636837,0.0
小店区,2021,14251524,57665,7446441,6747418,271933,502793,1414155,1322734,91421,100777.6658145677,0.0040462339325955,0.5225013830099855,0.473452383057419,0.935352913930934,0.5408448407197395,14251524,0.0
小店区,2022,15871737,49838,8848967,6972932,223863,470755,1428411,1337031,91380,111114.6371737546,0.0031400469904459,0.5575298406217291,0.439330112387825,0.9360268158114156,0.4755403553865598,15871737,0.0
小店区,2023,15806192,50298,8480189,7275705,257763,647777,1436291,1345003,91288,110048.67398041204,0.003182170632876,0.5365105649735243,0.4603072643935996,0.9364418491795884,0.3979193457007581,15806192,0.0
小店区,2024,13972833,52571,5228273,8691989,275362,628123,1454601,1362627,91974,96059.55860060596,0.0037623723120429,0.3741741563790249,0.6220634713089321,0.9367702895845664,0.4383886595459806,13972833,0.0
迎泽区,2019,8601614,3130,1008443,7590041,195162,293604,594007,581503,12504,144806.61002311422,0.0003638851964294,0.1172388112277533,0.8823973035758172,0.9789497430164964,0.6647116524298035,8601614,0.0
迎泽区,2020,9021875,3383,1098716,7919776,178011,305853,594284,582904,11380,151810.8345504843,0.0003749774852788,0.1217835538621406,0.8778414686525805,0.9808509063006912,0.582014889505743,9021875,0.0
迎泽区,2021,10525190,4029,1366808,9154353,190491,283162,591373,580179,11194,177978.8728940956,0.0003827959400257,0.1298606485963674,0.8697565554636069,0.9810711682812708,0.6727279790367352,10525190,0.0
迎泽区,2022,11173279,5318,1491565,9676396,166375,305955,595369,584217,11152,187669.81485431723,0.0004759569684064,0.1334939367396088,0.8660301062919846,0.9812687593744384,0.5437891193149319,11173279,0.0
迎泽区,2023,11648608,5297,1410270,10233041,183900,299161,597951,586853,11098,194808.7385086738,0.0004547324452844,0.121067684653823,0.8784775829008925,0.9814399507651964,0.6147191645969896,11648608,0.0
迎泽区,2024,11874032,5242,1517392,10351398,184546,267717,607515,596322,11193,195452.49088499876,0.0004414675655244,0.1277907959149849,0.8717677365194906,0.9815757635613936,0.6893323920408491,11874032,0.0
杏花岭区,2019,7307771,5797,1470328,5831646,155248,267421,771738,723100,48638,94692.38264799712,0.0007932651419974,0.2012006123344587,0.7980061225235437,0.9369760203592412,0.580537803687818,7307771,0.0
杏花岭区,2020,7496941,6451,1534724,5955766,148247,327330,781027,732644,48383,95988.24368427724,0.0008604842961949,0.2047133624234204,0.7944261532803846,0.9380520775850258,0.4528976873491583,7496941,0.0
杏花岭区,2021,8754295,8340,1722003,7023952,158090,343477,785644,737148,48496,111428.26776504373,0.0009526752297015,0.1967037893970902,0.8023435353732082,0.9382722963581468,0.460263714892118,8754295,0.0
杏花岭区,2022,9212076,13588,1850890,7347598,160957,341741,792175,743725,48450,116288.3958721242,0.0014750203971395,0.2009199663572033,0.7976050132456571,0.9388392716255878,0.470991189233952,9212076,0.0
杏花岭区,2023,9467409,13611,1681087,7772711,149756,344343,796032,747717,48315,118932.5177882296,0.001437668954621,0.1775656887750386,0.8209966422703403,0.939305203810902,0.4349035699869026,9467409,0.0
杏花岭区,2024,9346062,13696,1450905,7881461,145455,376378,802966,754509,48457,116394.24334280654,0.0014654300388762,0.1552423897894107,0.8432921801717129,0.9396524883992596,0.3864598887288842,9346062,0.0
尖草坪区,2019,3407836,28674,2289069,1090093,141031,262754,525054,494942,30112,64904.48601477181,0.0084141373000343,0.6717075000088032,0.3198783626911624,0.9426497084109444,0.5367415909938573,3407836,0.0
尖草坪区,2020,3639853,27605,2489504,1122744,141846,303882,531288,501722,29566,68509.97952146482,0.0075840974896513,0.6839572916818344,0.3084586108285142,0.944350333529084,0.4667798685015894,3639853,0.0
尖草坪区,2021,5132684,31313,3777072,1324299,170131,306665,534268,504646,29622,96069.46326562698,0.0061007067647258,0.7358863315957109,0.2580129616395632,0.9445559157576348,0.5547780150979081,5132684,0.0
尖草坪区,2022,5817647,29566,4484996,1303085,90069,229210,537335,507812,29523,108268.5289437688,0.0050821234083126,0.7709295527899853,0.2239883238017019,0.94505662203281,0.3929540595960036,5817647,0.0
尖草坪区,2023,5821854,29874,4416316,1375664,127661,277772,538603,509126,29477,108091.7484677954,0.0051313550631809,0.758575532811369,0.23629311212545,0.9452713779908392,0.4595891594545166,5821854,0.0
尖草坪区,2024,3908721,29330,2046677,1832714,49719,218799,543212,513586,29626,71955.71894582594,0.0075037333183923,0.523618083767043,0.4688781829145646,0.9454614404689146,0.2272359562886484,3908721,0.0
万柏林区,2019,4759791,3116,2484074,2272601,232645,388678,938010,933930,4080,50743.49953625228,0.0006546505928516,0.5218872005094342,0.4774581488977142,0.9956503662007868,0.5985545876020768,4759791,0.0
万柏林区,2020,4860403,3202,2412100,2445101,201345,357662,953276,952109,1167,50986.31456157503,0.000658793108308,0.4962757203466461,0.5030654865450458,0.9987758005026875,0.5629476992244073,4860403,0.0
万柏林区,2021,5774223,3786,2855782,2914655,209050,416910,968271,968271,0,59634.36889052755,0.0006556726333569,0.4945742483447556,0.5047700790218874,1.0,0.5014271665347437,5774223,0.0
万柏林区,2022,6204833,4976,3279158,2920699,202624,340488,976956,976956,0,63511.89818169907,0.0008019555079081,0.5284844894294496,0.4707135550626423,1.0,0.5950987993703155,6204833,0.0
万柏林区,2023,6299974,2648,3312499,2984827,214628,379389,982367,982367,0,64130.55405973531,0.0004203191949681,0.5257956620138432,0.4737840187911886,1.0,0.5657201447590732,6299974,0.0
万柏林区,2024,7263060,5044,3090246,4167770,206363,400122,997394,997394,0,72820.36988391749,0.0006944731284059,0.425474386828692,0.573831140042902,1.0,0.515750196190162,7263060,0.0
晋源区,2019,754974,35664,240868,478442,93344,293633,308935,256555,52380,24437.956204379563,0.0472387128563367,0.3190414504340547,0.6337198367096085,0.8304497709874246,0.3178934247853613,754974,0.0
晋源区,2020,800874,36310,260814,503750,64569,205059,318647,270611,48036,25133.580419712096,0.0453379682696653,0.3256617145768248,0.6290003171535098,0.849250110623982,0.3148801076763273,800874,0.0
晋源区,2021,977671,45259,332088,600324,69575,198215,325364,276382,48982,30048.530261491745,0.0462926690062403,0.3396725483316985,0.6140347826620611,0.8494547645099028,0.3510077441162374,977671,0.0
晋源区,2022,1024609,36929,368760,618920,52265,187980,328006,279086,48920,31237.50785046615,0.0360420414031108,0.3599031435406091,0.60405481505628,0.8508563867734127,0.2780348973295031,1024609,0.0
晋源区,2023,1061596,36352,362299,662945,69704,182004,330761,282020,48741,32095.56144769184,0.034242781623141,0.3412776611818431,0.6244795571950158,0.852639821502535,0.3829805938331025,1061596,0.0
晋源区,2024,1366566,38312,298829,1029425,73831,192488,338386,289003,49383,40384.8267954348,0.0280352357661466,0.2186714728743434,0.7532932913595098,0.8540631113580349,0.3835615726694651,1366566,0.0
清徐县,2019,1863574,84066,1101669,677839,143475,330826,344424,141403,203021,54106.97280096625,0.0451100949036636,0.5911592456215852,0.3637306594747512,0.4105492067916289,0.4336871950814023,1863574,0.0
清徐县,2020,1948319,101008,1154627,692684,132304,376911,344526,145889,198637,56550.71025118569,0.0518436662579382,0.59262728536754,0.3555290483745218,0.4234484480126319,0.3510218592718175,1948319,0.0
清徐县,2021,2960757,137316,1985659,837782,155998,354131,345952,147895,198057,85582.8843307742,0.0463786795066261,0.6706592266775018,0.282962093815872,0.4275015030986958,0.4405093030545193,2960757,0.0
清徐县,2022,3561857,154110,2543105,864642,204837,408642,348589,150925,197664,102179.27129083248,0.0432667566384613,0.7139829027386557,0.2427503406228829,0.4329597319479387,0.5012627189569354,3561857,0.0
清徐县,2023,3530177,162044,2430769,937364,207208,410376,347359,152625,194734,101629.06387915672,0.0459025142365382,0.6885685901868377,0.265528895576624,0.4393869167057712,0.5049223151451352,3530177,0.0
清徐县,2024,3927131,171724,1925190,1830217,166206,302780,346890,154618,192272,113209.69183314596,0.0437275965584035,0.4902281080004716,0.4660442954411248,0.4457263109343019,0.5489332188387608,3927131,0.0
阳曲县,2019,494756,55970,276264,162522,65369,225617,128043,65692,62351,38639.831931460525,0.1131264704217836,0.5583843349044781,0.3284891946737381,0.5130463984755121,0.2897343728531095,494756,0.0
阳曲县,2020,621886,64172,394678,163036,56073,190253,128671,68627,60044,48331.48106410924,0.1031893305203847,0.6346468645378736,0.2621638049417417,0.5333525036721561,0.2947285982349818,621886,0.0
阳曲县,2021,805186,87948,536174,181064,61495,199983,126434,67818,58616,63684.29378173593,0.1092269363848849,0.6659007980764693,0.2248722655386457,0.5363905278643403,0.3075011375966957,805186,0.0
阳曲县,2022,821011,88556,544996,187459,67699,227274,127592,68930,58662,64346.58912784501,0.1078621358300924,0.6638108381008293,0.2283270260690782,0.5402376324534454,0.2978739319059813,821011,0.0
阳曲县,2023,814323,85421,530916,197986,74601,246843,127418,69585,57833,63909.5732157152,0.1048981792237232,0.6519722517968914,0.2431295689793853,0.5461159333846082,0.3022204397126918,814323,0.0
阳曲县,2024,1185949,84672,405901,695376,77943,275886,127272,70032,57240,93182.23961279778,0.0713959875171697,0.3422583939106993,0.5863456185721309,0.5502545728832736,0.2825188664883321,1185949,0.0
娄烦县,2019,248994,22377,99949,126668,42256,169088,92417,45353,47064,26942.445653938128,0.0898696354129015,0.4014112789866422,0.5087190856004562,0.490743045110748,0.2499053747161241,248994,0.0
娄烦县,2020,310226,24880,151134,134212,45680,210850,91066,45893,45173,34066.06197702765,0.0801995964232527,0.4871738667938857,0.4326265367828615,0.5039531768168142,0.2166469053829736,310226,0.0
娄烦县,2021,416846,35403,235902,145541,52516,223853,88627,44940,43687,47033.74818057702,0.0849306458500261,0.5659212275036825,0.3491481266462914,0.507068951899534,0.2346003850741334,416846,0.0
娄烦县,2022,450427,47918,254885,147624,88030,240895,88850,45469,43381,50695.216657287565,0.1063834983249227,0.5658741594087389,0.3277423422663383,0.5117501406865503,0.3654289213142656,450427,0.0
娄烦县,2023,435064,41030,243048,150986,61298,226794,88059,45602,42457,49405.96645430904,0.0943079638857731,0.5586488424691539,0.3470431936450729,0.5178573456432619,0.2702805188849793,435064,0.0
娄烦县,2024,438540,41272,211473,185795,66044,221014,87819,45887,41932,49936.80183103884,0.094112281661878,0.4822205500068409,0.4236671683312811,0.5225179061478723,0.298822699014542,438540,0.0
古交市,2019,435198,20399,214851,199948,161072,230575,210404,158465,51939,20683.922358890515,0.046872917614511,0.493685632746474,0.4594414496390149,0.7531463280165777,0.6985666269109834,435198,0.0
古交市,2020,605742,23444,373142,209156,128259,282252,210877,159666,51211,28724.896503649048,0.0387029461387851,0.6160081354768202,0.3452889183843947,0.7571522736002504,0.4544130776752689,605742,0.0
古交市,2021,830753,33979,555892,240882,187291,248334,210869,160074,50795,39396.639619858775,0.0409014472412377,0.6691423323177887,0.2899562204409734,0.759115849176503,0.7541899216377943,830753,0.0
古交市,2022,1008108,43407,706340,258361,283449,366616,211728,161217,50511,47613.35298118341,0.0430578866550012,0.7006590563709444,0.2562830569740543,0.761434481976876,0.7731495624849979,1008108,0.0
古交市,2023,852366,33272,549438,269656,221296,325830,209551,160759,48792,40675.8259325892,0.0390348746899806,0.644603374606683,0.3163617507033364,0.7671593072808052,0.6791762575576221,852366,0.0
